_id,Team Name,Team Description
665d818167ce31294619f0bd,Alpha Squad,A highly skilled team specializing in software development.
665d818167ce31294619f0be,Beta Team,Focused on quality assurance and testing.
665d818167ce31294619f0bf,Gamma Group,Experts in project management and coordination.
665d818167ce31294619f0c0,Delta Force,Specialists in cybersecurity and data protection.
665d818167ce31294619f0c1,Epsilon Engineers,Innovators in engineering and technical solutions.
665d818167ce31294619f0c2,Zeta Zone,Creative minds in marketing and advertising.
665d818167ce31294619f0c3,Theta Thinkers,Strategists in business analysis and planning.
665d818167ce31294619f0c4,Iota Innovators,Pioneers in research and development.
665d818167ce31294619f0c5,Kappa Crew,Team dedicated to customer service and support.
665d818167ce31294619f0c6,Lambda Leaders,Leadership and management experts driving company success.
